Day Label,Category,Module Name,Sub Module,Focus Area,Methodology,Duration (min)
Day 1,Introduction,Knowing Each Other,Ice Breaker,Ice Breaker activity,Activity,20
Day 1,Tata Play Introduction,Welcome to Tata Play,Introduction to Tata Group & Tata Play,"Introduction to Tata Play, Know Tata, Know Tata Play Values, Introduction to various lines of business",Activity/QBD/ILT/AV,30
Day 1,Tata Play Introduction,Context Setting,Tata Play Values & ID Card,Tata Play Values and Importance of ID Card - Lanyard & Commitment Card Distribution,Activity/QBD/ILT/AV,10
Day 1,Tata Play Introduction,Tata Play Presence,Subscribe to YouTube Channel,Subscribe to Tata Play Cares YouTube channel,Activity/QBD/ILT/AV,10
Day 1,Relationship Management,Customer Service Introduction,,Defining Who Is A Customer? Types Of Customers,Activity/QBD/ILT/AV,10
Day 1,Relationship Management,Customer Service vs Customer Experience,,How is customer service different from customer experience,ILT,10
Day 1,Relationship Management,Importance of Human Voice,,Why Human touch matters on Voice Calls. The Impact of Verbal Communication,ILT,10
Day 1,Relationship Management,Telephone Etiquettes,,Telephonic Etiquettes Importance and Application,ILT,10
Day 1,Relationship Management,Call Handling Mantra,,The Simple Mantra,ILT,10
Day 1,Relationship Management,Ideal Call Structure,Discussion On Ideal Call Structure,"Call Opening, Collecting Information, Call Processing, Addressing The Concern, Call Closing",Activity/QBD/ILT/AV,30
Day 1,Soft Skills,Active Listening,,"Active listening techniques, What is listening vs hearing, Barriers of effective listening",Activity/QBD/ILT/AV,20
Day 1,Soft Skills,Paraphrasing,,"Paraphrasing: The Path, Paraphrasing: Examples, Benefits of Paraphrasing",Activity/QBD/ILT/AV,15
Day 1,Soft Skills,Probing,,"Comfort the customer, Understand the requirement, Ask the right questions, Types Of Probing Questions - Open ended / Close Ended, Probing Dos and Donts, Benefits Of Probing",Activity/QBD/ILT/AV,15
Day 1,Soft Skills,Tone Of Voice,,"Elements of Tone, Types of Tone and Its Impact, Why Tone Matters, Common Tonality Mistakes, Regional Accent, Rate of Speech, Matching Tone to customer emotion, Filler Words",Activity/QBD/ILT/AV,45
Day 1,Soft Skills,Rapport Building,,"Importance of Building Rapport, The Art of Rapport Building, Mirroring the Customers Style, Techniques for Establishing Rapport, Role-play: Turning an Unhappy Customer Around",Activity/QBD/ILT/AV,20
Day 1,Soft Skills,Empathy,,"What is Empathy and Why is it Important, Mutually agree on solution, Do not over promise, Empathize with the customer, Take Ownership, Spectrum Of Empathy, Techniques For Showcasing Empathy",Activity/QBD/ILT/AV,60
Day 1,Soft Skills,Own the Customer,,"Why Taking Ownership Matters, How to Demonstrate Ownership on Calls, Power Statements for Ownership, Handling Difficult Situations with Ownership, Closing the Conversation with Ownership",Activity/QBD/ILT/AV,20
Day 1,Soft Skills,How to Handle Difficult Customers,,"Common Triggers for Customers Anger, Techniques For Handling An Irate Customer, Avoid Overuse Of Apology, Alternative Apology Phrases, Managing An Irate Customer - HERO Concept",Activity/QBD/ILT/AV,30
Day 1,Soft Skills,Re-visit Ideal Call Structure,,"Call Opening, Collecting Information, Call Processing, Addressing The Concern, Call Closing",Activity/QBD/ILT/AV,20
Day 1,Floor KPIs,Cross Sell,,What is Cross Sell? Why these parameters are important?,Activity/QBD/ILT/AV,20
Day 1,Floor KPIs,Objection Handling,,"Recognizing common objections, Common Reason For Sales Objections, Techniques to turn No into Yes",Activity/QBD/ILT/AV,20
Day 1,Floor KPIs,Understanding and Managing Escalations,,"Understanding Common Reasons for Escalation, Knowing when and how to escalate, Using Empathy in Escalation Situations",Activity/QBD/ILT/AV,15
Day 1,Floor KPIs,Importance of Call Quality,,"Why it matters, Key Elements, Impact of Poor Call Quality, Common Mistakes, How Can Call Quality Be Improved, Statements",Activity/QBD/ILT/AV,20
Day 1,Assessment,Soft Skills Online Test,,,Assessment,20
Day 1,Break,Break,,,Break,60
Day 2,Tata Play Introduction,Welcome To Tata Play DTH,,"Launch of Tata Play DTH, Vision of Tata Play DTH, Brand Growth",PPT,20
Day 2,Tata Play Introduction,Why Tata Play DTH,,"Technology behind excellent performance, Unique features, Multiple options, Complete entertainment, Difference between DTH Dish and Normal cable TV",PPT,45
Day 2,Advisor Role,Advisor Role,,Job of an advisor - The business that we are in,ILT,20
Day 2,Floor KPIs,Advisor KPIs,,"What is AHT, Hold Time, OLR and FTR, Methodology, Impact of these on Customer issue resolution",ILT/PPT,30
Day 2,Information Security,Information Security,,Information Security Policy and Compliance,ILT/PPT,20
Day 2,Information Security,Customer Privacy Policy,,Customer Privacy Policy and Data Protection,ILT/PPT,20
